,,,,oracle_1,oracle_1,oracle_3,oracle_3,simple_n,simple_n,simple_sqrt_n,simple_sqrt_n,lambda_3_plugin_1,lambda_3_plugin_1,lambda_1_plugin_2_0.5,lambda_1_plugin_2_0.5,lambda_1_plugin_2_1,lambda_1_plugin_2_1,lambda_1_plugin_3_0.5,lambda_1_plugin_3_0.5,lambda_1_plugin_3_1,lambda_1_plugin_3_1,lambda_3_plugin_2_0.5,lambda_3_plugin_2_0.5,lambda_3_plugin_2_1,lambda_3_plugin_2_1,lambda_3_plugin_3_0.5,lambda_3_plugin_3_0.5,lambda_3_plugin_3_1,lambda_3_plugin_3_1,lambda_4,lambda_4,oracle_2,oracle_2,lambda_2_plugin_2_0.5,lambda_2_plugin_2_0.5,lambda_2_plugin_2_1,lambda_2_plugin_2_1,lambda_2_plugin_3_0.5,lambda_2_plugin_3_0.5,lambda_2_plugin_3_1,lambda_2_plugin_3_1
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
omega,p0x,px0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.05,0.3,100,0.095660513066411,0.0,0.0089327394508048,0.0,0.01,0.0,0.1,0.0,0.009137751707480655,0.002614674898309054,0.03634313819733568,0.036618516895985956,0.043849002494773456,0.03999859496824961,0.03385642753805305,0.04425332622612829,0.040153237744647914,0.04937163667614557,0.009465442619538198,0.0026674727523652375,0.009789371784735742,0.002719892176730938,0.009165549119057132,0.0026156057688703363,0.009192883052151254,0.0026176938734674463,0.009536380334617631,0.0028205709424733404,0.249999991300179,0.0,0.11684425993166365,0.0912663050831358,0.13301866062704115,0.08761717569552889,0.10941719269699786,0.08928000808851252,0.12519347236060732,0.0881613656089294
1,0.05,0.3,500,0.095660513066411,0.0,0.001846086440659,0.0,0.002,0.0,0.0447213595499958,0.0,0.0018478998963655476,0.00026066386239511973,0.030327326870228207,0.03119303568976308,0.031497952918547394,0.031232899650182878,0.028982090835124374,0.030865992077633277,0.028982090835124374,0.030865992077633277,0.0018617319441448154,0.0002618362602558254,0.001875536791551854,0.0002630078471748496,0.0018478998963655476,0.00026066386239511973,0.0018478998963655476,0.00026066386239511973,0.0018630265980958392,0.0002644346482370728,0.249999982641122,0.0,0.1102769663814197,0.08862430062147102,0.11272061608242692,0.08843779222385333,0.10630312385039735,0.08811113607514477,0.1066525580777282,0.08860557691146037
1,0.05,0.3,1000,0.095660513066411,0.0,0.0009269044762514,0.0,0.001,0.0,0.0316227766016838,0.0,0.0009326452263635532,8.98070952789131e-05,0.02948632417849938,0.030211749510791832,0.030265321857297883,0.030650149557025802,0.028618287197051978,0.029718301162226693,0.028618287197051978,0.029718301162226693,0.0009361429806008867,9.001186394220646e-05,0.0009396373786143843,9.021657077379104e-05,0.0009326452263635532,8.98070952789131e-05,0.0009326452263635532,8.98070952789131e-05,0.0009364478678706427,9.044611053852558e-05,0.249999982658643,0.0,0.1091934480612452,0.08981060972035777,0.11102357951118579,0.09009459229397736,0.10706549012967494,0.08956147554253115,0.10671287874247513,0.08938411240959934
1,0.05,0.3,5000,0.095660513066411,0.0,0.0001860033636883,0.0,0.0002,0.0,0.014142135623731,0.0,0.00018650757137844421,8.62902474220356e-06,0.026884633725118557,0.028197763542694116,0.027068898998974696,0.028337959338324056,0.026700825462597718,0.028085609290037186,0.026700825462597718,0.028085609290037186,0.0001866481162661428,8.632999738793755e-06,0.00018678863463083862,8.636974521760838e-06,0.00018650757137844421,8.62902474220356e-06,0.00018650757137844421,8.62902474220356e-06,0.0001866584867991313,8.641196944922399e-06,0.249999982632861,0.0,0.1044227443773898,0.08861855957839691,0.10378880349759285,0.08796138776438747,0.10324537578496149,0.0881396703035605,0.10316793705587873,0.08829398019703315
1,0.05,0.5,100,0.0974358974358974,0.0,0.0180859507880712,0.0,0.01,0.0,0.1,0.0,0.017250748579151785,0.0023475776869649715,0.03576407839731034,0.03266230623967277,0.04282027643257006,0.034572905124148935,0.02922472164796006,0.029996348166867744,0.030648506358259043,0.02950924113402537,0.01773998207102369,0.0023865745897146107,0.018224060934069402,0.002425259251969427,0.017299846577836172,0.0023092226837270963,0.01734909612565468,0.0022766971447547952,0.01847589932991485,0.0026602599814202596,0.249999983374962,0.0,0.1214773703817225,0.09276957620454934,0.13413595532072015,0.08959694244686707,0.10951965765869198,0.0920139961200914,0.11590833777052749,0.09042695901403364
1,0.05,0.5,500,0.0974358974358974,0.0,0.0038695747106916,0.0,0.002,0.0,0.0447213595499958,0.0,0.003825178808817375,0.00021377728270125987,0.03224947403301642,0.030924753633276385,0.03378292003473722,0.031525166037202845,0.03071053331813777,0.030285007273596426,0.03071053331813777,0.030285007273596426,0.0038479630151160185,0.00021460784857039048,0.0038707126715125427,0.0002154381131874371,0.003825178808817375,0.00021377728270125987,0.003825178808817375,0.00021377728270125987,0.003881249653396839,0.00021947762210630756,0.249999983338754,0.0,0.11743378131591853,0.09106012059981697,0.1195708950926012,0.09020251523648448,0.11425847892055015,0.09068087544572324,0.11431021163776114,0.09115564725962612
1,0.05,0.5,1000,0.0974358974358974,0.0,0.0019518104724727,0.0,0.001,0.0,0.0316227766016838,0.0,0.0019425730436142905,7.564786083801623e-05,0.028911036439117913,0.028881804428700638,0.02967892446685165,0.02922568763283196,0.028143185463829438,0.02852938421940103,0.028143185463829438,0.02852938421940103,0.001948392389381313,7.579709424925356e-05,0.001954207568075443,7.59463137510668e-05,0.0019425730436142905,7.564786083801623e-05,0.0019425730436142905,7.564786083801623e-05,0.0019568978788429875,7.665684194469356e-05,0.249999983382224,0.0,0.10927565346111455,0.08838899917007621,0.11162679776705445,0.08851592275585295,0.1076435698475452,0.08782995157712035,0.10813688817103641,0.0881077501128097
1,0.05,0.5,5000,0.0974358974358974,0.0,0.0003931292347659,0.0,0.0002,0.0,0.014142135623731,0.0,0.0003922966104110818,6.7051229554517116e-06,0.028978621900181873,0.02891656577744646,0.029130175003257597,0.02898813930236283,0.028827043244783163,0.028844620472748498,0.028827043244783163,0.028844620472748498,0.0003925329922013499,6.707798556578743e-06,0.0003927693417171685,6.710474147466657e-06,0.0003922966104110818,6.7051229554517116e-06,0.0003922966104110818,6.7051229554517116e-06,0.0003928767154052369,6.72298212856082e-06,0.249999983409889,0.0,0.11092580675379311,0.08946483119152683,0.11151740238786301,0.09009521248105898,0.1111295454774043,0.09006956713912281,0.11008438471387705,0.08941638978095066
1,0.05,0.7,100,0.095660513066411,0.0,0.0089327394508048,0.0,0.01,0.0,0.1,0.0,0.009213896442213158,0.0028155003519715603,0.03489116841536861,0.03511083689150633,0.04261939115423836,0.04076421026259058,0.034919360396058,0.04676444802729277,0.039511294388284754,0.04892805513357769,0.009542912193750773,0.0028717711128723776,0.009868155315908254,0.002927637380381327,0.009243335128948447,0.0028164577976273774,0.009272279195125912,0.002818587047500741,0.009621845301294327,0.0030463734926150024,0.249999991278713,0.0,0.11629797753663462,0.08916833852332365,0.1282970242557215,0.08550344907920565,0.1129690522352043,0.09009149106697342,0.12261145430694356,0.08602811933268391
1,0.05,0.7,500,0.095660513066411,0.0,0.001846086440659,0.0,0.002,0.0,0.0447213595499958,0.0,0.0018444019778264527,0.0002550959551323435,0.02918595569848745,0.030479690322636983,0.030415121743564255,0.030656336317616915,0.027763925595009786,0.02971336110596329,0.027763925595009786,0.02971336110596329,0.001858220994218973,0.00025624321217276104,0.0018720128108038637,0.00025738967785280943,0.0018444019778264527,0.0002550959551323435,0.0018444019778264527,0.0002550959551323435,0.0018594717669738504,0.00025877057524304473,0.249999982645173,0.0,0.10780364469464816,0.08857434702181201,0.11106492934099478,0.08915592933485329,0.1035185304081481,0.08791054660194231,0.1035618349165498,0.08750941715605005
